UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,,Unnamed: 122,Unnamed: 123,17.999998826176505,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
TRADICIONAL,0,,,5743534.665450202,1,,-5743534.665450202,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,5743534.665450202,1,,-5743534.665450202,,,,,,
AUTOMOTRIZ,0,,,0,0,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,,
EMPAQUE,0,,,0,0,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,,
PROD HOGAR,0,,,0,0,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,,
OTROS INGRESOS,,,,0,0,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,,0,,,,,,
TOTAL VENTAS,0,,,5743534.665450202,,,-5743534.665450202,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,5743534.665450202,,,-5743534.665450202,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,10233056.459999997,1,,0,0,,10233056.459999997,,,10457621.250000007,1,,,,,10457621.250000007,,,10415137.459999966,1,,,,,10415137.459999966,,,31105815.16999997,1,,9950215.800000004,1,,,,,9950215.800000004,,,10029164.88999998,1,,,,,10029164.88999998,,,10806894.030000003,1,,,,,10806894.030000003,,,30786274.719999988,1,,13391386.459999975,1,,,,,13391386.459999975,,,10102695.880000003,1,,,,,10102695.880000003,,,11142790.800000008,1,,,,,11142790.800000008,,,34636873.139999986,1,,11130393.480000006,1,,,,,11130393.480000006,,,,,,,,,,,,,,,,,,,,,11130393.480000006,1,,107659356.50999995,1,,0,0,,107659356.50999995,,,,,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VENTAS C/TRANSFERENC,10233056.459999997,,,5743534.665450202,,,4489521.794549795,0.7816653082214639,,10457621.250000007,,,,,,10457621.250000007,,,10415137.459999966,,,,,,10415137.459999966,,,31105815.16999997,,,9950215.800000004,,,,,,9950215.800000004,,,10029164.88999998,,,,,,10029164.88999998,,,10806894.030000003,,,,,,10806894.030000003,,,30786274.719999988,,,13391386.459999975,,,,,,13391386.459999975,,,10102695.880000003,,,,,,10102695.880000003,,,11142790.800000008,,,,,,11142790.800000008,,,34636873.139999986,,,11130393.480000006,,,,,,11130393.480000006,,,,,,,,,,,,,,,,,,,,,11130393.480000006,,,107659356.50999995,1,,5743534.665450202,1,,101915821.84454975,17.74444271358135,,,,,
,0.016874241615472532,,,,,,,,,0.019497624213630625,,,,,,,,,0.017980241231231296,,,,,,,,,0.1869463321454706,,,0.01779404662340926,,,,,,,,,0.017803434004574112,,,,,,,,,0.021284823759067224,,,,,,,,,0.1869463321454706,,,0.022443583503091728,,,,,,,,,0.019964669870489494,,,,,,,,,0.021082101413054926,,,,,,,,,0.1869463321454706,,,0.01762439964922125,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1869463321454706,,,,,,,,,,,,,,,
INVENTARIO INICIAL,40587783.620000005,,,,,,,,,35290895.85,,,,,,,,,38167922.78,,,,,,,,,40587783.620000005,,,40586764.59,,,,,,,,,37417089.050000004,,,,,,,,,34808204.18,,,,,,,,,40586764.59,,,32636218.490000002,,,,,,,,,27748125.32,,,,,,,,,26541334.799999997,,,,,,,,,32636218.490000002,,,27728774.549999997,,,,,,,,,,,,,,,,,,,,,,,,,,,27728774.549999997,,,,,,,,,,,,,,,
(+) COMPRAS,4553322.75,,,,,,,,,10496861.46,,,,,,,,,11428753.59,,,,,,,,,26478937.8,,,5541781.22,,,,,,,,,6288850.2,,,,,,,,,8026618.91,,,,,,,,,19857250.33,,,6559331.19,,,,,,,,,7795033.57,,,,,,,,,10964678.97,,,,,,,,,25319043.73,,,6859250.37,,,,,,,,,,,,,,,,,,,,,,,,,,,6859250.37,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS RECIBIDAS,168527.10000000003,,,,,,,,,1195292.47,,,,,,,,,46855.34000000001,,,,,,,,,1410674.9100000001,,,603922.07,,,,,,,,,417349.09000000014,,,,,,,,,6379.080000000001,,,,,,,,,1027650.2400000001,,,501646.49999999994,,,,,,,,,189861.61,,,,,,,,,423543.43000000005,,,,,,,,,1115051.54,,,689363.9099999999,,,,,,,,,,,,,,,,,,,,,,,,,,,689363.9099999999,,,,,,,,,,,,,,,
(--) INVENTARIO FINAL,35290895.85,,,,,,,,,38167922.78,,,,,,,,,40586764.59,,,,,,,,,40586764.59,,,37417089.050000004,,,,,,,,,34808204.18,,,,,,,,,32641389.270000003,,,,,,,,,32641389.270000003,,,27748125.32,,,,,,,,,26541334.799999997,,,,,,,,,27728774.549999997,,,,,,,,,27728774.549999997,,,25727416.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
MATERIALES,10018737.620000003,0.9790562242241362,,3796701.1007580822,0.6610391199685536,,6222036.519241921,0.3180171042555826,,8815127.000000002,0.8429380629940099,,,,,8815127.000000002,,,9056767.120000001,0.8695773008069383,,,,,9056767.120000001,,,27890631.74000001,0.8966372232192504,,9315378.829999998,0.9361986731986249,,,,,9315378.829999998,,,9315084.160000008,0.928799582235209,,,,,9315084.160000008,,,10199812.9,0.943824643018175,,,,,10199812.9,,,28830275.890000008,0.9364652317375286,,11949070.86,0.892295274704515,,,,,11949070.86,,,9191685.700000003,0.9098250416699667,,,,,9191685.700000003,,,10200782.649999999,0.9154603037149357,,,,,10200782.649999999,,,31341539.21,0.904860524889748,,9549972.729999993,0.8580085463429625,,,,,9549972.729999993,,,,,,,,,,,,,,,,,,,,,9549972.729999993,0.8580085463429625,,97612419.57,0.9066784600457207,,3796701.1007580822,0.6610391199685536,,93815718.46924192,0.24563934007716715,,,,,
(+) VARIACION EN COMPRAS,171664.23,0.016775460066209783,,0,0,,171664.23,,,260400.83,0.024900579565357638,,,,,260400.83,,,130179.26,0.012499043867636138,,,,,130179.26,,,562244.32,0.01807521574108294,,-40862.51,-0.0041066958567873455,,,,,-40862.51,,,186781.54,0.018623837781971134,,,,,186781.54,,,-64105.94,-0.0059319486081793275,,,,,-64105.94,,,81813.09,0.002657453386097765,,-523657.68,-0.03910406749623451,,,,,-523657.68,,,-731946.98,-0.07245065957582797,,,,,-731946.98,,,-654566.39,-0.05874348731378853,,,,,-654566.39,,,-1910171.05,-0.05514848416827966,,-767157,-0.0689245174825571,,,,,-767157,,,,,,,,,,,,,,,,,,,,,-767157,-0.0689245174825571,,-2033270.6400000001,-0.018886148922979486,,0,0,,-2033270.6400000001,,,,,,
(+) VARIACION STD,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,5170.78,0,,,,,5170.78,,,5170.78,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,5170.78,0,,0,0,,5170.78,,,,,,
FLETES MERCANCIAS,0,0,,0,0,,0,,,0,0,,,,,0,,,2742.36,0,,,,,2742.36,,,2742.36,0,,0,0,,,,,0,,,0,0,,,,,0,,,374.04,0,,,,,374.04,,,374.04,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,3116.4,0,,0,0,,3116.4,,,,,,
FLETES INTERPLANTAS,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,60000,0.005552011506121892,,,,,60000,,,60000,0.0019489204376202625,,74000,0.005525940142272628,,,,,74000,,,0,0,,,,,0,,,0,0,,,,,0,,,74000,0.0021364515122625767,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,134000,0.0012446665514627463,,0,0,,134000,,,,,,
GASTOS DE IMPORTACION MERCANCIAS,16505.079999999998,0.0016129179062498793,,0,0,,16505.079999999998,,,0,0,,,,,0,,,20379.24,0.0019566942902355194,,,,,20379.24,,,36884.32,0.0011857692781371992,,0,0,,,,,0,,,0,0,,,,,0,,,24033.539999999994,0.002223908176880678,,,,,24033.539999999994,,,24033.539999999994,0,,8847.33,0,,,,,8847.33,,,8755.45,0,,,,,8755.45,,,-3204.9999999999995,0,,,,,-3204.9999999999995,,,14397.78,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,75315.63999999998,0,,0,0,,75315.63999999998,,,,,,
(+) GTOS S/COMPRA,16505.079999999998,0.0016129179062498793,,0,0,,16505.079999999998,,,0,0,,,,,0,,,23121.600000000002,0.0022199995044520594,,,,,23121.600000000002,,,39626.68,0.0012739315714258466,,0,0,,,,,0,,,0,0,,,,,0,,,84407.57999999999,0.0078105309227317335,,,,,84407.57999999999,,,84407.57999999999,0.0027417276292011216,,82847.33,0.006186613331447396,,,,,82847.33,,,8755.45,0,,,,,8755.45,,,-3204.9999999999995,0,,,,,-3204.9999999999995,,,88397.78,0.0025521293346169537,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,212432.03999999998,0.001973186974977583,,0,0,,212432.03999999998,,,,,,
TOTAL MATERIALES,10206906.930000003,0.9974446021965959,,3796701.1007580822,0.6610391199685536,,6410205.829241921,0.33640548222804234,,9075527.830000002,0.8678386425593675,,,,,9075527.830000002,,,9210067.98,0.8842963441790264,,,,,9210067.98,,,28492502.740000006,0.9159863705317591,,9274516.319999998,0.9320919773418376,,,,,9274516.319999998,,,9501865.700000007,0.94742342001718,,,,,9501865.700000007,,,10225285.32,0.9461816958336545,,,,,10225285.32,,,29001667.340000004,0.9420323700665013,,11508260.51,0.8593778205397279,,,,,11508260.51,,,8468494.170000002,0.8382410270079316,,,,,8468494.170000002,,,9543011.259999998,0.8564291864835146,,,,,9543011.259999998,,,29519765.939999998,0.8522641700560852,,8782815.729999993,0.7890840288604054,,,,,8782815.729999993,,,,,,,,,,,,,,,,,,,,,8782815.729999993,0.7890840288604054,,95796751.75,0.8898135271791441,,3796701.1007580822,0.6610391199685536,,92000050.64924192,0.2287744072105905,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANO DE OBRA,391053.1,0.03821469191815639,,0,0,,391053.1,,,360864.65,0.034507335977577096,,,,,360864.65,,,389120.51,0.037361053706150636,,,,,389120.51,,,1141038.26,0.0366824741214458,,367052.39,0.036888887374683856,,,,,367052.39,,,476226.99,0.0474842118185576,,,,,476226.99,,,370100,0.03424665764026187,,,,,370100,,,1213379.38,0.03941299787115004,,397961.21,0.029717700343329555,,,,,397961.21,,,532571.21,0.052715751946400255,,,,,532571.21,,,446197.5,0.040043603798071814,,,,,446197.5,,,1376729.92,0.039747523237312656,,766038,0.06882398195324174,,,,,766038,,,,,,,,,,,,,,,,,,,,,766038,0.06882398195324174,,4497185.56,0.04177236150935268,,0,0,,4497185.56,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS DE FABRICACION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANO DE OBRA INDIRECTA,400004.65,0.039089459885575585,,0,0,,400004.65,,,375876.81,0.0359428593763615,,,,,375876.81,,,361821.59,0.034739972601379496,,,,,361821.59,,,1137703.05,0.03657525269092638,,344442.03,0.03461653866843771,,,,,344442.03,,,412652.34,0.04114523437653849,,,,,412652.34,,,352048.23,0.03257626372783077,,,,,352048.23,,,1109142.6,0.03602717802292127,,322668.7,0.02409524218898546,,,,,322668.7,,,338523.4,0.03350822434140222,,,,,338523.4,,,360025.23,0.03231014890811732,,,,,360025.23,,,1021217.3300000001,0.029483531203070963,,413516.79,0.03715203696464465,,,,,413516.79,,,,,,,,,,,,,,,,,,,,,413516.79,0.03715203696464465,,3681579.7700000005,0.0341965611661262,,0,0,,3681579.7700000005,,,,,,
MANTENIMIENTO INSTALACIONES,0,0,,0,0,,0,,,0,0,,,,,0,,,975,0,,,,,975,,,975,0,,11136.7,0.0011192420570416168,,,,,11136.7,,,0,0,,,,,0,,,0,0,,,,,0,,,11136.7,0,,25183.41,0.001880567787004188,,,,,25183.41,,,31005.56,0.0030690382417014805,,,,,31005.56,,,3396.91,0,,,,,3396.91,,,59585.880000000005,0.0017203019383175196,,1701.86,0,,,,,1701.86,,,,,,,,,,,,,,,,,,,,,1701.86,0,,73399.44,0,,0,0,,73399.44,,,,,,
MANTENIMIENTO ACTIVO FIJO,14171.35,0.0013848599443767756,,0,0,,14171.35,,,1700,0,,,,,1700,,,18643.47,0.0017900359041444723,,,,,18643.47,,,34514.82,0.0011095938110404465,,47306.18,0.004754286836673429,,,,,47306.18,,,87986.43000000001,0.00877305647728763,,,,,87986.43000000001,,,11456,0.0010600640635688731,,,,,11456,,,146748.61000000002,0.004766689420356088,,5991.22,0,,,,,5991.22,,,27047.13,0.0026772190632348316,,,,,27047.13,,,22507.460000000003,0.0020199122826572305,,,,,22507.460000000003,,,55545.810000000005,0.0016036612131668888,,48089.18,0.004320528298160396,,,,,48089.18,,,,,,,,,,,,,,,,,,,,,48089.18,0.004320528298160396,,284898.42,0.002646295029392426,,0,0,,284898.42,,,,,,
DEPRECIACIONES Y AMORT.,1026589.68,0.10032092405752253,,0,0,,1026589.68,,,1026589.68,0.09816665333906593,,,,,1026589.68,,,1026589.68,0.09856707930574,,,,,1026589.68,,,3079769.04,0.09900943033218708,,1026589.68,0.10317260455798352,,,,,1026589.68,,,1027073.93,0.102408719097249,,,,,1027073.93,,,1027251.37,0.09505519043199129,,,,,1027251.37,,,3080914.98,0.10007430285154037,,1027251.37,0.07670985921199394,,,,,1027251.37,,,1038570.46,0.10280131880996497,,,,,1038570.46,,,1038570.46,0.09320559621383175,,,,,1038570.46,,,3104392.29,0.08962680544090249,,1508921.82,0.13556769782769615,,,,,1508921.82,,,,,,,,,,,,,,,,,,,,,1508921.82,0.13556769782769615,,10773998.13,0.10007488879054612,,0,0,,10773998.13,,,,,,
FLETES REFACCIONES,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,49552.41,0.004940831120386545,,,,,49552.41,,,27713.47,0.002564425071909398,,,,,27713.47,,,77265.88,0.0025097508777119117,,0,0,,,,,0,,,0,0,,,,,0,,,1978.18,0,,,,,1978.18,,,1978.18,0,,38634.119999999995,0.0034710470990464907,,,,,38634.119999999995,,,,,,,,,,,,,,,,,,,,,38634.119999999995,0.0034710470990464907,,117878.18,0.001094918117860484,,0,0,,117878.18,,,,,,
GASTOS DE IMPORTACION REFACCIONES,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,27719.11,0.0027638502611158143,,,,,27719.11,,,9520.82,0,,,,,9520.82,,,37239.93,0.0012096276778757991,,0,0,,,,,0,,,0,0,,,,,0,,,7756.55,0,,,,,7756.55,,,7756.55,0,,15994.89,0.0014370462310017086,,,,,15994.89,,,,,,,,,,,,,,,,,,,,,15994.89,0.0014370462310017086,,60991.37,0,,0,0,,60991.37,,,,,,
HONORARIOS,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,1800,0,,,,,1800,,,10200,0,,,,,10200,,,12000,0,,0,0,,,,,0,,,5000,0,,,,,5000,,,4350,0,,,,,4350,,,9350,0,,3650,0,,,,,3650,,,,,,,,,,,,,,,,,,,,,3650,0,,25000,0,,0,0,,25000,,,,,,
MATERIALES INDIRECTOS,469,0,,0,0,,469,,,0,0,,,,,0,,,920.58,0,,,,,920.58,,,1389.58,0,,9980.45,0.0010030385471639716,,,,,9980.45,,,1957.8,0,,,,,1957.8,,,0,0,,,,,0,,,11938.25,0,,0,0,,,,,0,,,0,0,,,,,0,,,274.68,0,,,,,274.68,,,274.68,0,,904.93,0,,,,,904.93,,,,,,,,,,,,,,,,,,,,,904.93,0,,14507.44,0,,0,0,,14507.44,,,,,,
