UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,,Unnamed: 122,Unnamed: 123,0,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T2,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,
,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,RESULTADO,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,RESULTADO,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,HSJ COSTURA,,,,,,GUADALAJARA,,,HSJ COSTURA,,,HSJ COSTURA,,,GUADALAJARA,,,GUADALAJARA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,415.0323112356115,,,415.0323112356115,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
EMPAQUE USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
PROD HOGAR USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
OTROS INGRESOS USD,0,,,2406.3709750107564,,,-2406.3709750107564,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,2406.3709750107564,,,-2406.3709750107564,,,0,,,-15877.86085622722,
TOTAL VENTAS USD,0,,,2406.3709750107564,,,-2406.3709750107564,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2406.3709750107564,,,-2406.3709750107564,,,415.0323112356115,,,-15462.82854499161,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,
TRADICIONAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,7032.5,1,,7032.5,1
AUTOMOTRIZ,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,0
EMPAQUE,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,0
PROD HOGAR,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,0
OTROS INGRESOS,,,,,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,,,,0,
TOTAL VENTAS,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,7032.5,1,,7032.5,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,121823.14,1,,,,,121823.14,,,0,,,,,,0,,,121823.14,1,,0,,,,,,0,,,170753.15,1,,,,,170753.15,,,100320,1,,,,,100320,,,271073.15,1,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,392896.29,1,,0,,,392896.29,,,36453702.199999996,0.9998070274238976,,36453702.199999996,0.9998070274238976
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,-17732.580000000016,,,-17732.580000000016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VENTAS C/TRANSFERENC,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,121823.14,,,0,,,121823.14,,,0,,,,,,0,,,121823.14,,,0,,,,,,0,,,170753.15,,,,,,170753.15,,,100320,,,,,,100320,,,271073.15,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,392896.29,1,,0,,,392896.29,,,36443002.12,1,,36443002.12,1
,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,0.00021625631416056986,,,,,,,,,0,,,,,,,,,0.1869463321454706,,,0,,,,,,,,,0.0003374376809505793,,,,,,,,,0.00018980491079108016,,,,,,,,,0.1869463321454706,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1869463321454706,,,,,,,,,,,,,,,,
INVENTARIO INICIAL,4644459.34,,,,,,,,,4644459.34,,,,,,,,,4644459.34,,,,,,,,,13933378.02,,,4644459.34,,,,,,,,,4644459.34,,,,,,,,,4644459.34,,,,,,,,,4644459.34,,,4644459.34,,,,,,,,,4644459.34,,,,,,,,,4473706.18,,,,,,,,,4644459.34,,,4373386.18,,,,,,,,,,,,,,,,,,,,,,,,,,,4373386.18,,,,,,,,,,,,,,,,
(+) COMPRAS,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS RECIBIDAS,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
(--) INVENTARIO FINAL,4644459.34,,,,,,,,,4644459.34,,,,,,,,,4644459.34,,,,,,,,,13933378.02,,,4644459.34,,,,,,,,,4644459.34,,,,,,,,,4644459.34,,,,,,,,,4644459.34,,,4644459.34,,,,,,,,,4473706.18,,,,,,,,,4373386.18,,,,,,,,,4373386.18,,,4373386.18,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
MATERIALES,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,0,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,170753.16000000015,1.0000000585640743,,,,,170753.16000000015,,,100320,1,,,,,100320,,,271073.16000000015,1.0000000368904118,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,271073.16000000015,0.6899356570661438,,0,,,271073.16000000015,,,34020936.72,0.9335382581263588,,34020936.72,0.9335382581263588
(+) VARIACION EN COMPRAS,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,0,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,-757204.3400000001,-0.020777770654203175,,-757204.3400000001,-0.020777770654203175
(+) VARIACION STD,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,0,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,55016.27,0.001509652520361569,,55016.27,0.001509652520361569
FLETES MERCANCIAS,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,0,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,2600,0,,2600,0
FLETES INTERPLANTAS,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,0,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
GASTOS DE IMPORTACION MERCANCIAS,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,0,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,491148.63,0.013477172610059384,,491148.63,0.013477172610059384
(+) GTOS S/COMPRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,493748.63,0.013548516896993778,,493748.63,0.013548516896993778
TOTAL MATERIALES,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,170753.16000000015,1.0000000585640743,,,,,170753.16000000015,,,100320,1,,,,,100320,,,271073.16000000015,1.0000000368904118,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,271073.16000000015,0.6899356570661438,,0,,,271073.16000000015,,,33812497.28,0.927818656889511,,33812497.28,0.927818656889511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANO DE OBRA,2979.05,,,,,,2979.05,,,10799.3,,,,,,10799.3,,,14838.96,,,,,,14838.96,,,28617.309999999998,,,0,,,,,,0,,,90.88,0,,,,,90.88,,,0,,,,,,0,,,90.88,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,21267.13,,,,,,21267.13,,,,,,,,,,,,,,,,,,,,,21267.13,,,49975.32,0.12719723059741797,,0,,,49975.32,,,3243763.63,0.08900923198695027,,3244579.51,0.08903161982419026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS DE FABRICACION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANO DE OBRA INDIRECTA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,716.39,,,0,,,716.39,,,0,0,,0,,,0,,,0,0,,0,,,0,,,716.39,0.0026427921762077872,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,716.39,0.0018233564893168118,,0,,,716.39,,,3097641.8300000005,0.0849996336690387,,3067865.8400000003,0.08418257721737883
MANTENIMIENTO INSTALACIONES,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,12768.45,0.10481136834923152,,0,,,12768.45,,,0,,,0,,,0,,,12768.45,0.10481136834923152,,0,,,0,,,0,,,0,0,,0,,,0,,,8228.359999999999,0.08202113237639552,,0,,,8228.359999999999,,,8228.359999999999,0.030354758484932933,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,20996.809999999998,0.05344110019465951,,0,,,20996.809999999998,,,0,0,,0,0
MANTENIMIENTO ACTIVO FIJO,0,,,620,,,-620,,,44181.09,,,3448.28,,,40732.81,,,30941.09,,,15024.61,,,15916.48,,,75122.18,,,5341.09,,,2242.0299999999997,,,3099.0600000000004,,,82075.19,0.6737241381235125,,17462.77,,,64612.42,,,81696.22,,,8972.52,,,72723.7,,,169112.5,1.3881804392827175,,5341.09,,,80161.97,,,-74820.88,,,5341.09,0.03127959864869257,,0,,,5341.09,,,5341.09,0.0532405303030303,,0,,,5341.09,,,16023.27,0.05911050209140964,,5341.09,,,0,,,5341.09,,,,,,,,,,,,,,,,,,,,,5341.09,,,265599.04,0.6760029217888517,,127932.18000000001,,,137666.86,,,127932.18000000001,0.0035104731377163505,,127932.18000000001,0.0035104731377163505
